artist,title,lyrics,description,release date
10cc,I’m Not in Love,"I’m Not in Love Lyrics
I'm not in love
So don't forget it
It's just a silly phase I'm going through
And just because
I call you up
Don't get me wrong, don't think you've got it made

I'm not in love, no no
It's because...

I like to see you
But then again
That doesn't mean you mean that much to me
So if I call you
Don't make a fuss
Don't tell your friends about the two of us

I'm not in love, no no
It's because...

Be quiet, big boys don't cry
Big boys don't cry
Big boys don't cry
Big boys don't cry
Big boys don't cry
Big boys don't cry

I keep your picture
Upon the wall
It hides a nasty stain that's lying there
So don't you ask me
To give it back
I know you know it doesn't mean that much to me

I'm not in love, no no
It's because...

Ooh you'll wait a long time for me
Ooh you'll wait a long time
Ooh you'll wait a long time for me
Ooh you'll wait a long time

I'm not in love
So don't forget it
It's just a silly phase I'm going through
And just because I call you up
Don't get me wrong, don't think you've got it made
Ooh
I'm not in love
I'm not in love28Embed","“I’m Not in Love” is a song written by Eric Stewart and Graham Gouldman of 10cc, from their album The Original Soundtrack.

The song expresses a highly romantic feeling yet the speaker seems to be in denial. He repeats several times “I’m not in love”, but at the end of the song he realises that he is deceiving himself.

The band had wanted to write a love song without sinking themselves into the mire of cliches that came with the traditional love song – so, Eric Stewart suggested a song called “I’m Not in Love”.

The song was originally written as a bossa nova, with congos and island-sounding instruments like that. The band, however, hated that version – especially Kevin Godley. They saw the promise it had, but were stuck without ideas as to how it could be improved. Then, out of desperation, Godley said:

Well, why don’t we do it with voices, no instruments? Just all… a tsunami of voices… let’s do the whole backing track with voices, like a massive choir, the biggest choir you can imagine.

However, the band didn’t exactly have a massive, angelic choir at their disposal. So Lol Creme came up with a further idea – they’d create the choir themselves with tape loops.

So the three members – Kevin, Lol & Graham – spent three weeks in the studio crafting an artificial choir. They would hold one note for as long as they possibly could 16 times in a row (one for each track on their 16-track machine), then they’d bounce all of that down onto stereo tape. They repeated this process for 13 notes – a chromatic scale in the key of C. This ended up giving the band 624 voices to work with, in total.

The band then composed the song by playing the control board as a keyboard – each member had three faders to work with (which corresponded to three notes) and they composed the song by pushing the faders back and forth. All of the notes play at once throughout the entire song; they were prevented from being fully muted by a piece of masking tape which kept the faders from falling below a certain volume level. This is what causes the harmony to sound like an incredible, overwhelming blanket of sound – an entire chromatic scale being sung all at once by the equivalent of 624 people.

The band then recorded a rhythm track which was intended to be temporary – they were going to record over it with another acapella layer which mimicked it. However, the band liked the way it worked with the tape-choir section and kept it. So the version which was intended to be a sort of intermediary draft ended up being the final version of the song.

Godley, however, still wasn’t satisfied with the song as it was. Something effusive was still missing and he couldn’t put his finger on it. Suddenly, Lol Creme remembered something he’d said while recording the grand piano solo – “Be quiet, big boys don’t cry.” Godley loved it and wanted it in. However, Creme’s voice just wasn’t right. They needed something else. Just then, the band’s secretary, Kathy Redfern, popped her head into the studio and whispered, “Eric, sorry to bother you. There’s a telephone call for you.” Lol jumped up and cried, “That’s the voice! Her voice is perfect!” And with that addition, the song was complete.

“I’m Not in Love” was the second single released in support of the band’s third album, The Original Soundtrack. It was the band’s breakthrough hit, reaching #1 in the UK, Ireland and Canada and #2 in the US. It’s been featured in many soundtracks since then, including The Virgin Suicides, Guardians of the Galaxy and Grand Theft Auto: Vice City Stories.","March 11, 1975"
10cc,Dreadlock Holiday,"Dreadlock Holiday Lyrics
I was walkin' down the street
Concentrating on truckin' right
I heard a dark voice beside of me
And I looked round in a state of fright
I saw four faces, one mad
A brother from the gutter
They looked me up and down a bit
And turned to each other

I say
I don't like cricket, oh no
I love it
I don't like cricket, no no
I love it
Don't you walk through my words
You got to show some respect
Don't you walk through my words
'Cause you ain't heard me out yet

Well he looked down at my silver chain
He said I'll give you one dollar
I said you've got to be joking man
It was a present from me mother
He said I like it I want it
I'll take it off your hands
And you'll be sorry you crossed me
You'd better understand that you're alone
A long way from home
And I say
I don't like reggae, no no
I love it
I don't like reggae
I love it
Don't you cramp me style
Don't you queer me pitch
Don't you walk through my words
'Cause you ain't heard me out yet

I hurried back to the swimming pool
Sinkin' piña colada
I heard a dark voice beside me say
Would you like something harder?
She said I've got it, you want it
My harvest is the best
And if you try it, you'll like it
And wallow in a dreadlock holiday
(Dreadlock holiday, dreadlock holiday
Dreadlock holiday, dreadlock holiday)

And I say
Don't like Jamaica, oh no
I love her
Don't like Jamaica, oh no
I love her (Oh yeah)
Don't you walk through her words
You got to show some respect
Don't you walk through her words
'Cause you ain't heard her out yet
I don't like cricket (Oh no)
I love it (Dreadlock holiday)
I don't like reggae (Oh no)
I love it (Dreadlock holiday)
Don't like Jamaica (Hey)
I love her (Dreadlock holiday)
I don't like cricket5Embed","The band have helpfully decoded this track for us:

“Dreadlock Holiday” is an interesting song because it came from 3 different sources. I had seen a white guy trying to “Truck“ down a street in Barbados, had been threatened with a knife on a raft in the middle of the ocean, and I had been asked “Have you got everything you need?” from a “Dealer“ on the beach in Barbados. Graham Gouldman had the line “I don’t like cricket, I love it” quoted to him on Jamaica, and the “Don’t you walk through my words“ came from a Radio DJ from Newcastle who was challenged when he walked through a group of black guys talking together.

Essentially, it’s an outsider trying to fit in to Jamaican culture. He pronounces “I don’t like cricket,” and, upon seeing the shock of those around him, quickly modifies it to “I love it!”

The song was a hit, reaching 44 on the US Billboard 100 and charting well in Ireland, New Zealand, and Australia, all three countries where cricket is incredibly important.",July 1978
10cc,The Things We Do for Love,"The Things We Do for Love Lyrics{Intro}

Too many broken hearts have fallen in the river
Too many lonely souls have drifted out to sea
You lay your bets and then you pay the price

The things we do for love
The things we do for love

Communication is the problem to the answer
You've got her number
And your hand is on the phone
The weather's turned and all the lines are down

The things we do for love
The things we do for love

Like walking in the rain and the snow
When there's nowhere to go
And you're feelin' like a part of you is dying
And you're looking for the answer in her eyes
You think you're gonna break up
Then she says she wants to make up
Ooh you made me love you
Ooh you've got a way
Ooh you had me crawling up the wall
{Bridge}

Like walking in the rain and the snow
When there's nowhere to go
And you're feelin' like a part of you is dying
And you're looking for the answer in her eyes
You think you're gonna break up
Then she says she wants to make up
Ooh you made me love you
Ooh you've got a way
Ooh you had me crawling up the wall

A compromise would surely help the situation
Agree to disagree
But disagree to part
When after all it's just a compromise of

The things we do for love
The things we do for love
The things we do for love
The things we do for love
The things we do for love
The things we do for love
The things we do for love....5Embed","10CC was always “accused” of trying to be the ‘new Beatles"", and this song demonstrates why. The “pop and vocal harmonies” do indeed remind of late Beatles work. Made it to the top 10 in both the UK and the US.

From the first album produced after the departure of two of the founders, Deceptive Bends and 10CC appeared as a duo (Eric Stewart and Graham Gouldman).","May 28, 1977"
10cc,Rubber Bullets,"Rubber Bullets Lyrics
I went to a party
At the local county jail
All the cons were dancing
And the band began to wail
But the guys were indiscreet
They were brawling in the street
At the local dance
At the local county jail

Well the band were playing
And the booze began to flow
But the sound came over
On the police car radio
Down at Precinct 49
Having a tear-gas of a time
Sergeant Baker got a call
From the governor of the county jail

Load up, load up, load up
With rubber bullets
Load up, load up, load up
With rubber bullets
I love to hear those convicts squeal
It's a shame these slugs ain't real
But we can't have dancin'
At the local county jail
Sergeant Baker and his men
Made a bee-line for the jail
And for miles around
You could hear the sirens wail
There's a rumor goin' 'round death row
That a fuse is gonna blow
At the local hop
At the local county jail
Whatcha gonna do about it?
Whatcha gonna do?
Whatcha gonna do about it?
Whatcha gonna do?

Sergeant Baker started talkin'
With a bullhorn in his hand
He was cool, he was clear
He was always in command
He said, ""Blood will flow
Here, Padre
Padre, you talk to your boys
Trust in me
God will come to set you free""

Well, we don't understand
Why you called in the National Guard
When Uncle Sam is the one
Who belongs in the exercise yard
We all got balls and brains
But some's got balls and chains
At the local dance
At the local county jail
Load up, load up, load up
With rubber bullets
Load up, load up, load up
With rubber bullets
Is it really such a crime
For a guy to spend his time
At the local dance
At the local county jail?
At the local dance
At the local county jail?
Whatcha gonna do about it?
Whatcha gonna do?
Whatcha gonna do about it?
Whatcha gonna do?3Embed","“Rubber Bullets” is 1973 song from English rock/pop band 10cc from their self-titled debut. It was written by drummer Kevin Godley, guitarist Lol Creme, and the only consistent member of the band, Graham Gouldman. It was produced by the band themselves.

The lyrics are about a group of inmates who throw a party without permission of the warden. Alcohol is brought into the picture and it’s no surprise that a riot breaks out. The police begin using rubber bullets and the situation becomes so bad that the National Guard are called in.

The song satirizes films starring the iconic 1930’s actor James Cagney. They were typically about gangsters and had macho elements.

It had limited airplay in the UK because of the problems in Northern Ireland at the time.","March 13, 1973"
10cc,"I’m Mandy, Fly Me","I’m Mandy, Fly Me Lyrics
Oh, no you'll never get me up in one of these again
'Cos what goes up (What goes up)
Must come-

Just like a rollin' stone
I'm outside lookin' in
But if your chance came would you take it?
Where on earth do I begin?

I'm Mandy, fly me

I've often heard her jingle
It's never struck a chord
With a smile as bright as sunshine
She called me through the poster
And welcomed me aboard
She led me she fed me
She read me like a book
But I'm hiding in the small print
Won't you take another look?
And take me away
Try me, Mandy, fly me away
The world was spinning like a ball
And then it wasn't there at all
And as my heart began to fall


I saw her walking on the water
As the sharks were comin' for me
I felt Mandy pull me up, give me the kiss of life
Just like the girl in Dr. No No No No
Oh, when they pulled me from the wreckage
And her body couldn't be found
Was it in my mind it seems
I had a crazy dream
I told them so but they said no no no no

I found me on a street
And starin' at a wall
If it hadn't have been for Mandy
Her promise up above me
Well I wouldn't be here at all
So if you're travellin' in the sky
Don't be surprised if someone says ""Hi...""
""I'm Mandy, fly me""Embed","Eric Stewart recalled the origins of the song “I’m Mandy Fly Me”:

National Airlines used to have this beautiful poster that they displayed of this gorgeous stewardess inviting you onto the plane. […] “I’m Cindy, fly me” which was a quite sexual connotation as well … and I thought God, do you know, there’s a song there.




So I brought it back…and put it to the guys: “Anybody interested in this ‘I’m Mandy Fly Me’?”.I’d switched it to Mandy. And Graham said “yeah, that sounds like a good idea. … We wrote it, and we didn’t like it. We, we scrapped it. It just wasn’t going anywhere.

But, enter from stage left, ha ha, the “wicked villain” Kevin Godley, twiddling his moustache, says “I know what’s wrong with it. Let’s sit down again.” He said “I think it just gets too bland, it just goes on, on one plane, your verses and your middles and your der-der-der, they’re all going on the one plane. What it needs is someone to go ‘Bash’ on the side of your head”. So we changed the rhythm completely, and we put two whacking great guitar solos in there, in the middle of this quiet, soft, floaty song. Once we’d got that idea in, it, it just gelled into something else.","January 1, 1976"
10cc,Life Is a Minestrone,"Life Is a Minestrone Lyrics
I'm dancing on the White House lawn
Sipping tea by the Taj Mahal at dawn
Hanging 'round the gardens of Babylon
Minnie Mouse has got it all sewn up (Come on, Pluto!)
She gets more fan mail than the Pope (Own up, own up)
She takes the Mickey out of all my phobias
Like signing cheques to ward off double pneumonia

Life is a minestrone
Served up with parmesan cheese
Death is a cold lasagne
Suspended in deep freeze

I'm leaning on the Tower of Pisa
Had an eyeful of the tower in France
I'm hanging 'round the gardens of Madison
The seat of learning and the flush of success
Relieves a constipated mind
I'm like a gourmet in a skid row diner
A fitting menu for a dilettante

Life is a minestrone
Served up with parmesan cheese
Death is a cold lasagne (Baby)
Suspended in deep freeze
Love is the fire of flaming brandy
Upon a crêpe suzette
Let's get this romance cooking, honey
But let us not forget

Life is a minestrone
Served up with parmesan cheese
Death is a cold lasagne (Baby)
Suspended in deep freeze

Life is a minestrone
Served up with parmesan cheese
Death is a cold lasagne (Baby)
Suspended in deep freeze

Love is the fire of flaming brandy
Upon a crêpe suzette
Let's get this romance cooking, honey
But let us not forget

Life is a minestrone
Served up with parmesan cheese
Death is a cold lasagne (Baby)
Suspended in deep freeze
Life is a minestrone
Served up with parmesan cheese
Death is a cold lasagne (Baby)
Suspended in deep freeze
(C'mon, serve it up boys)
Mine-mine-mine-minestrone
Mine-mine-mine-minestrone
Mine-mine-mine-minestrone
Mine-mine-mine-minestrone
Mine-mine-mine-minestrone
Mine-mine-mine-minestrone
Mine-mine-mine-minestrone
Mine-mine-mine-minestrone
Mine-mine-mine-minestrone
Mine-mine-mine-mine
Mine-mine-mine-mine
Mine-mine-mine-mine...Embed","‘Life Is A Minestrone’ is danceable and very Italian-poppish, indeed, besides, who could resist a song featuring such immortal lines as ‘Life is a minestrone/Served up with parmesan cheese/Death is a cold Lasagna/Suspended in deep freeze’?","March 11, 1975"
10cc,Une nuit a Paris,"Une nuit a Paris Lyrics
Mme. Bezier (Lol Creme):
Bonjour, monsieur
Paris really welcomes you
It's the best room in the house (she lied)
It's forty francs a night, all right?
Touriste (Eric Stewart):
It's crazy, it isn't worth a centime
I'll take it!
Mme. Bezier (Lol Creme):
Merci, Monsieur
Offstage Chorus (Lol Creme & Group):
Rouged lips in the gaslight
A great view of the hall
That's the way the croissant crumbles after all
Narrator (Graham Gouldman):
Paris is only one step away
Les girls are out on bail
Tres bien, there's love for sale
Coquette (Kevin Godley):
Oh my cheri, wish you were mine
And I'll show you a wonderful time
For the price of a cheap champagne
I'll show it you once again
Voice of the Streets (Group):
One night in Paris
Is like a year in any other place
One night in Paris
Will wipe the smile off your pretty face
One girl in Paris
Is like loving every woman
One night in Paris
One night in Paris
One night in Paris
May be your last!!!

Is he gonna buy?
You wanna little culture?
Is he gonna pay?
Maybe Monsieur is into photographs, Non?
Or is he gonna fall in love
The all American way?
I got a watch wiz a beautiful Swiss movement
Is he gonna buy?
Forget the watch, I'll show you a good time!`
Is he gonna pay?
Le connoisseur, want something different?
Or is he gonna fall in love
The all American way?
Oh you know you ain't no Casanova
You can't even do the Bossa Nova
Or the Tango or the Samba!
Though you are so very charming
No you ain't no Casanova
Is he gonna buy?
Is he gonna pay?
Or is he gonna fall in love
The all American way?
Sometimes I think he will
But then again
One night in Paris
Is like a year in any other place!
One night in Paris
Will wipe the smile off your pretty face!
Try a girl in Paris
But try one of mine
Each night in Paris
Each night in Paris
Each night in Paris
Each night in Paris
May be your last!!!

Forty-Two, Quarante-Deux
Rue de Saint Jacques
All our girls are how you say
Good in the sack
I was a stripper
On the Champs Elysees
He was a gendarme
In the gendarmerie
Going Oh La La La
Oh La La La La
He was a pimp
In a black beret
But he was an artiste
In his own way
Oh La La La
Oh La La La La
When they raided my club that night
They ruined my act with the leather umbrella
The Chief de Police got a fright
He was up in my boudoir with some other fella
It's only routine
But I got this feeling
It ain't good for business
Then the floor cleared
A woman screamed to herself
Henri...Though you're not the toast of Paris
I love you, although you bed and beat me
Henri, leave it alone
For the gendarme's just doing his job
Paris is only one step away
Murder is only one step away
Notre Dame is ringing her bells
Another gendarme has gone to Hell
Notre Dame is ringing her bells
Another gendarme has gone to Hell
Gone to Hell
Gone to Hell
One night in Paris
Is like a year in any other place
One night in Paris
Will wipe the smile off your pretty face
One girl in Paris
Is like loving every woman
This night in Paris
This night in Paris
This night in Paris
This night in Paris
May be your last!5Embed","The album’s opening track, Kevin Godley and Lol Creme’s “Une Nuit A Paris”, is an nine-minute, multi-part “mini-operetta”. Its melody can also be heard in the overture to Andrew Lloyd Webber’s 1986 musical The Phantom of the Opera.","March 11, 1975"
artist,title,lyrics,description,release date
2Pac,Hit ’Em Up,"Hit ’Em Up Lyrics
Sucka-ass
I ain't got no motherfuckin' friends
That's why I fucked yo' bitch, you fat motherfucka!
(Take money) West Side, Bad Boy killas
(Take money) (You know) You know who the realest is
(Take money) niggas, we bring it too
That's a'ight, ha ha
(Take money)
First off, fuck your bitch and the clique you claim
Westside when we ride, come equipped with game
You claim to be a player, but I fucked your wife
We bust on Bad Boys, niggas fucked for life
Plus, Puffy tryna see me, weak hearts I rip
Biggie Smalls and Junior M.A.F.I.A. is some mark-ass bitches
We keep on comin' while we runnin' for your jewels
Steady gunnin', keep on bustin' at them fools, you know the rules
Lil' Caesar, go ask your homie how I'll leave ya
Cut your young-ass up, leave you in pieces, now be deceased
Lil' Kim, don't fuck around with real Gs
Quick to snatch yo' ugly ass off the streets, so fuck peace!
I'll let them niggas know it's on for life
Don't let the Westside ride tonight (Ha ha)
Bad Boy murdered on wax and killed
Fuck with me and get yo' caps peeled, you know
See, grab your Glocks when you see 2Pac
Call the cops when you see 2Pac, uh
Who shot me? But you punks didn't finish
Now you 'bout to feel the wrath of a menace
Nigga, I hit 'em up! (Yeah)

Check this out, you motherfuckers know what time it is
I don't even know why I'm on this track
Y'all niggas ain't even on my level
I'ma let my lil' homies ride
On you bitch-made ass Bad Boy bitches, feel it!
Get out the way yo, get out the way yo
Biggie Smalls just got dropped
Little Mu', pass the MAC and let me hit him in his back
Frank White needs to get spanked right for settin' traps
Little accident murderer, and I ain't never heard of ya
Poisonous gats attack when I'm servin' ya
Spank ya, shank ya whole style when I gank
Guard your rank 'cause I'ma slam your ass in the paint
Puffy weaker than the fuckin' block I'm runnin' through, nigga
And I'm smokin' Junior M.A.F.I.A. in front of you, nigga
With the ready power tucked in my Guess under my Eddie Bauer
Your clout petty/sour, I push packages every hour; I hit 'em up!
Grab your Glocks when you see 2Pac
Call the cops when you see 2Pac, uh
Who shot me? But you punks didn't finish
Now you 'bout to feel the wrath of a menace
Nigga, we hit 'em up!

Peep how we do it, keep it real as penitentiary steel
This ain't no freestyle battle
All you niggas gettin' killed with your mouths open
Tryna come up off of me, you in the clouds hopin'
Smokin' dope, it's like a sherm high
Niggas think they learned to fly
But they burn, motherfucker, you deserve to die
Talkin' about you gettin' money, but it's funny to me
All you niggas livin' bummy while you fuckin' with me
I'm a self-made millionaire
Thug livin', out of prison, pistols in the air (ha ha)
Biggie, remember when I used to let you sleep on the couch
And beg a bitch to let you sleep in the house?
Now it's all about Versace, you copied my style
Five shots couldn't drop me, I took it and smiled
Now I'm back to set the record straight
With my AK, I'm still the thug that you love to hate
Motherfucker, I hit 'em up!
I'm from N-E-W Jers' where plenty of murders occurs
No points or commas, we bring the drama to all you herbs
Now go check the scenario: Lil' Cease
I'll bring you fake G's to your knees, coppin' pleas in de Janeiro
Little Kim, is you coked up or doped up?
Get your little Junior Whopper click smoked up
What the fuck, is you stupid?
I take money, crash and mash through Brooklyn
With my click lootin', shootin' and pollutin' your block
With a 15-shot cocked Glock to your knot
Outlaw MAFIA clique movin' up another notch
And your pop stars popped and get mopped and dropped
All your fake-ass East Coast props brainstormed and locked

You's a beat biter, a Pac style taker
I'll tell you to your face, you ain't shit but a faker
Softer than Alizé with a chaser
About to get murdered for the paper
E.D.I. Mean approach the scene of the caper
Like a loc, with Little Ceas' in a choke
Gun totin' smoke, we ain't no motherfuckin' joke
Thug Life, niggas better be knowin'
We approachin' in the wide open, gun smokin'
No need for hopin', it's a battle lost
I got 'em crossed as soon as the funk is boppin' off
Nigga, I hit 'em up!

Now you tell me who won
I see them, they run, hahahaha
They don't wanna see us
Whole Junior M.A.F.I.A. clique dressin' up tryna be us
How the fuck they gonna be the mob
When we always on our job?
We millionaires
Killin' ain't fair, but somebody gotta do it
Oh yeah, Mobb Deep, you wanna fuck with us?
You little young-ass motherfuckers
Don't one of you niggas got sickle-cell or somethin'?
You're fuckin' with me, nigga
You fuck around and have a seizure or a heart attack
You better back the fuck up
Before you get smacked the fuck up
This is how we do it on our side
Any of you niggas from New York that wanna bring it, bring it!
But we ain't singin', we bringin' drama
Fuck you and yo' motherfuckin' mama!
We gon' kill all you motherfuckers!
Now when I came out I told you it was just about Biggie
Then everybody had to open their mouth
With a motherfuckin' opinion
Well, this is how we gonna do this: fuck Mobb Deep! Fuck Biggie!
Fuck Bad Boy as a staff, record label, and as a motherfuckin' crew!
And if you wanna be down with Bad Boy, then fuck you too!
Chino XL, fuck you too!
All you motherfuckers, fuck you too!
(Take money, take money)
All of y'all motherfuckers, fuck you, die slow!
Motherfucker, my .44 make sho' all y'all kids don't grow!
You motherfuckers can't be us or see us
We motherfuckin' Thug Life ridas
Westside 'til we die!
Out here in California, nigga, we warned ya
We'll bomb on you motherfuckers! We do our job!
You think you mob? Nigga, we the motherfuckin' mob!
Ain't nothin' but killas
And the real niggas, all you motherfuckers feel us
Our shit goes triple and 4-quadruple
You niggas laugh 'cause our staff got guns under they motherfuckas belts
You know how it is: when we drop records, they felt
You niggas can't feel it, we the realest
Fuck 'em, we Bad Boy killas!448Embed","Arguably the most memorable diss track of the East Coast–West Coast rivalry,  2Pac and The Outlawz hit up Biggie Smalls, P. Diddy, and Mobb Deep, with direct threats of violence.

2Pac’s feud with Biggie and Bad Boy was rooted in the 1994 shooting at the Quad Recording Studios. Shakur believed that Bad Boy Records were involved in his shooting because Biggie and Puff Daddy were at the studio the same night he was robbed and shot in the studio lobby. Months after the incident, Biggie released “Who Shot Ya?” while Tupac was incarcerated for sexual abuse allegations. Shakur was aggravated by the song and saw it as an insult, as noted in a 1995 Vibe interview.

In a June 2017 interview with DJ Vlad, Outlawz rappers E.D.I. Mean and Young Noble revealed that 2Pac planned this track while he was still in prison. He began recording in May 1996 at the Cam-Am studios in Los Angeles and enlisted the help of Johnny J, who had worked on several songs on both Me Against the World and All Eyez On Me. On this track, Johnny sampled the bassline from Dennis Edwards’s 1984 song, “Don’t Look Any Further,” and ‘Pac purposefully interpolated two songs from The Notorious B.I.G.’s group, Junior M.A.F.I.A.: 1995’s “Player’s Anthem” and “Get Money.”

On June 3, 1996, Shakur recorded a music video for the song with The Outlawz. The video was filmed inside a warehouse and featured satiric impersonations of Biggie, Puffy, and Lil' Kim.

This song spawned controversy and exacerbated the East Coast–West Coast rivalry even further. Biggie never responded directly but he took jabs at ‘Pac on “Long Kiss Goodnight.” Mobb Deep retaliated with their 1996 track, “Drop A Gem On ‘Em.”

2Pac extended his beef with the East Coast on tracks such as “Bomb First (My Second Reply)” and “Against All Odds” off of his November 1996 posthumous album, The Don Killuminati: The 7 Day Theory.","June 4, 1996"
2Pac,Changes,"Changes Lyrics
Ooh, yeah (Ooh)
(Come on, come on)

I see no changes, wake up in the morning and I ask myself
Is life worth livin'? Should I blast myself?
I'm tired of bein' poor and, even worse, I'm black
My stomach hurts so I'm lookin' for a purse to snatch
Cops give a damn about a negro
Pull the trigger, kill a nigga, he's a hero
""Give the crack to the kids, who the hell cares?
One less hungry mouth on the welfare""
First ship 'em dope and let 'em deal to brothers
Give 'em guns, step back, watch 'em kill each other
""It's time to fight back,"" that's what Huey said
Two shots in the dark, now Huey's dead
I got love for my brother
But we can never go nowhere unless we share with each other
We gotta start makin' changes
Learn to see me as a brother instead of two distant strangers
And that's how it's supposed to be
How can the Devil take a brother if he's close to me? Uh
I'd love to go back to when we played as kids
But things change, and that's the way it is
(Come on, come on)
That's just the way it is (Changes)
Things'll never be the same
That's just the way it is (That's the way it is, what?)
Aww, yeah-yeah (Hear me)
(Oh my, oh my, come on, come on)
That's just the way it is (That's just the way it is, the way it is)
Things'll never be the same
(Never be the same, yeah, yeah, yeah, aww, yeah)
That's just the way it is (Way it is)
Aww, yeah (Come on, come on)
I see no changes, all I see is racist faces
Misplaced hate makes disgrace to races
We under, I wonder what it takes to make this
One better place, let's erase the wasted
Take the evil out the people, they'll be actin' right
'Cause both black and white are smokin' crack tonight
And the only time we chill is when we kill each other (Kill each other)
It takes skill to be real, time to heal each other
And although it seems heaven-sent
We ain't ready to see a black president, uh (Oh-ooh)
It ain't a secret, don't conceal the fact
The penitentiary's packed and it's filled with blacks
But some things will never change (Never change)
Try to show another way, but you stayin' in the dope game (Ooh)
Now tell me, what's a mother to do?
Bein' real don't appeal to the brother in you (Yeah)
You gotta operate the easy way
""I made a G today,"" but you made it in a sleazy way
Sellin' crack to the kids (Oh-oh), ""I gotta get paid"" (Oh)
Well hey, well that's the way it is
(Come on, come on)
That's just the way it is (Changes)
Things'll never be the same
That's just the way it is (That's the way it is, what?)
Aww, yeah (Hear me)
(Oh my, oh my, come on, come on)
That's just the way it is (That's just the way it is, the way it is)
Things'll never be the same
(Never be the same, yeah, yeah, yeah, aww, yeah)
That's just the way it is (Way it is)
Aww, yeah (Aww, yeah, aww, yeah)

We gotta make a change
It's time for us as a people to start makin' some changes
Let's change the way we eat
Let's change the way we live
And let's change the way we treat each other
You see, the old way wasn't workin'
So it's on us to do what we gotta do to survive

And still I see no changes, can't a brother get a little peace?
It's war on the streets and the war in the Middle East (Ooh, yeah)
Instead of war on poverty
They got a war on drugs so the police can bother me
And I ain't never did a crime I ain't have to do
But now I'm back with the facts, givin' it back to you (Ooh)
Don't let 'em jack you up, back you up
Crack you up and pimp-smack you up
You gotta learn to hold your own
They get jealous when they see you with your mobile phone
But tell the cops they can't touch this
I don't trust this, when they try to rush, I bust this
That's the sound of my tool, you say it ain't cool
My mama didn't raise no fool (Oh)
And as long as I stay black, I gotta stay strapped
And I never get to lay back
'Cause I always got to worry 'bout the payback
Some buck that I roughed up way back
Comin' back after all these years
""Rat-a-tat-tat-tat-tat,"" that's the way it is
(Uh)
That's just the way it is (Just the way it is, yeah, yeah, yeah)
Things'll never be the same (Yeah)
That's just the way it is (The way it is)
Aww, yeah (Some things will never change, oh my)
(I'm tryna make a change)
(You're my brother, you're my sister, yeah)
That's just the way it is (The way it is, the way it is)
Things'll never be the same (You're my brother, you're my sister)
That's just the way it is, aww, yeah
Some things'll never change343Embed","“Changes” is Pac’s timely meditation on race, class and politics.

The piano and chorus are sampled from “The Way It Is” by Bruce Hornsby and the Range.

To see annotations on this song by the cast and author of the Broadway musical Holler If Ya Hear Me, which tells a powerful story of today using Pac’s music, see here.","October 13, 1998"
