artist,title,lyrics,genre
Dolly Parton,9 to 5,"9 to 5 Lyrics
Tumble outta bed and stumble to the kitchen
Pour myself a cup of ambition
Yawnin' and stretchin' and try to come to life
Jump in the shower and the blood starts pumpin'
Out on the streets, the traffic starts jumpin'
With folks like me on the job from 9 to 5

Working 9 to 5, what a way to make a living
Barely gettin' by, it's all taking and no giving
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
9 to 5, for service and devotion
You would think that I would deserve a fair promotion
Want to move ahead but the boss won't seem to let me
I swear sometimes that man is out to get me
Mmmmm...

They let you dream just to watch them shatter
You're just a step on the boss man's ladder
But you got dreams he'll never take away
In the same boat with a lot of your friends
Waiting for the day your ship will come in
And the tide's gonna turn an' it's all gonna roll your way
Working 9 to 5, what a way to make a living
Barely gettin' by, it's all taking and no giving
They just use your mind and you never get the credit
It's enough to drive you crazy if you let it
9 to 5, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life putting money in his wallet
9 to 5, what a way to make a living
Barely gettin' by, it's all taking and no giving
They just use your mind and they never give you credit
It's enough to drive you crazy if you let it
9 to 5, yeah, they got you where they want you
There's a better life and you think about it don't you
It's a rich man's game no matter what they call it
And you spend your life putting money in his wallet12Embed",country
Taylor Swift,Nothing New (Taylor's Version) [From the Vault],"Nothing New (Taylor’s Version)  Lyrics
They tell you while you're young
""Girls, go out and have your fun""
Then they hunt and slay the ones who actually do it
Criticize the way you fly
When you're soaring through the sky
Shoot you down and then they sigh
And say, ""She looks like she's been through it""
Lord, what will become of me
Once I've lost my novelty?

I've had too much to drink tonight
And I know it's sad but this is what I think about
And I wake up in the middle of the night
It's like I can feel time moving
How can a person know everything at eighteen
But nothing at twenty-two?
And will you still want me when I'm nothing new?

How long will it be cute, all this crying in my room?
When you can't blame it on my youth
And roll your eyes with affection
And my cheeks are growing tired
From turning red and faking smiles
Are we only biding time 'til I lose your attention
And someone else lights up the room? (Ahh)
People love an ingénue (Ahh)
I've had (I've had) too much to drink tonight
How did I go from growing up to breaking down?
And I wake up (Wake up) in the middle of the night
It's like I can feel time moving
How can a person know everything at eighteen
But nothing at twenty-two?
And will you still want me when I'm nothing new?

I know someday I'm gonna meet her
It's a fever dream
The kind of radiance you only have at seventeen
She'll know the way and then she'll say she got the map from me
I'll say I'm happy for her then I'll cry myself to sleep
Oh woah ohh, oh woah ohh, oh, oh

I've had (I've had) too much to drink tonight
But I wonder if they'll miss me once they drive me out
I wake up (Wake up) in the middle of the night
And I can feel time moving
How can a person know everything at eighteen
But nothing at twenty-two?
And will you still want me, will you still want me
Will you still want me when I'm nothing new?44Embed",country
Maren Morris,My Church,"My Church Lyrics
I’ve cussed on a Sunday
I’ve cheated and I’ve lied
I’ve fallen down from grace
A few too many times
But I find holy redemption
When I put this car in drive
Roll the windows down and turn up the dial

Can I get a hallelujah?
Can I get an amen?
Feels like the Holy Ghost running through ya
When I play the highway FM
I find my soul revival
Singin' every single verse
Yeah, I guess that’s my church

When Hank brings the sermon
And Cash leads the choir
It gets my cold, cold heart burnin'
Hotter than a ring of fire
When this wonderful world gets heavy
And I need to find my escape
I just keep the wheels rolling, radio scrolling
Until my sins wash away
Can I get a hallelujah?
Can I get an amen?
Feels like the Holy Ghost running through ya
When I play the highway FM
I find my soul revival
Singin' every single verse
Yeah, I guess that’s my church

Can I get a hallelujah?
Can I get an amen?
Feels like the Holy Ghost running through ya
When I play the highway FM
I find my soul revival
Singin' every single verse
Yeah, I guess that’s my church

Can I get a hallelujah?
Can I get an amen?
Feels like the Holy Ghost running through ya
When I play the highway FM
I find my soul revival
Singin' every single verse
Yeah, I guess that’s my church
Yeah, I guess that’s my church
Yeah, I guess that’s my church23Embed",country
Bob Dylan,The Times They Are A-Changin',"The Times They Are A-Changin’ LyricsCome gather 'round people, wherever you roam
And admit that the waters around you have grown
And accept it that soon you'll be drenched to the bone
If your time to you is worth saving
Then you better start swimmin' or you'll sink like a stone
For the times, they are a-changin'
Come writers and critics who prophesize with your pen
And keep your eyes wide, the chance won't come again
And don't speak too soon, for the wheel's still in spin
And there's no tellin' who that it's namin'
For the loser now will be later to win
For the times, they are a-changin'
Come senators, congressmen, please heed the call
Don't stand in the doorway, don't block up the hall
For he that gets hurt will be he who has stalled
The battle outside ragin'
Will soon shake your windows and rattle your walls
For the times, they are a-changin'
Come mothers and fathers throughout the land
And don't criticize what you can't understand
Your sons and your daughters are beyond your command
Your old road is rapidly aging
Please get out of the new one if you can't lend your hand
For the times, they are a-changin'
The line, it is drawn, the curse, it is cast
The slow one now will later be fast
As the present now will later be past
The order is rapidly fading
And the first one now will later be last
For the times, they are a-changin'38Embed",country
Harry Styles,Girl Crush,"Girl Crush Lyrics
I got a girl crush
I hate to admit it, but
I got a heart rush
It ain't slowing down
I got it real bad
Want everything she has
That smile and that midnight laugh
She's givin' you now

I wanna taste her lips
Yeah, 'cause they taste like you
I wanna drown myself
In a bottle of her perfume
I want her long blonde hair
I want her magic touch
Yeah, 'cause maybe then
You'd want me just as much
And I've got a girl crush
I've got a girl crush

I don't get no sleep
I don't get no peace
Thinking about her
Under your bed sheets
The way that she's whisperin'
The way that she's pullin' you in
Lord knows I've tried
I can't get her off my mind
I wanna taste her lips
Yeah, 'cause they taste like you
I wanna drown myself
In a bottle of her perfume
I want her long blonde hair
I want her magic touch
Yeah, 'cause maybe then
You'd want me just as much
And I've got a girl crush
Oh, and I got a girl crush38Embed",country
Taylor Swift,Holy Ground,"Holy Ground Lyrics
I was reminiscing just the other day
While having coffee all alone, and Lord, it took me away
Back to a first-glance feeling on New York time
Back when you fit in my poems like a perfect rhyme
Took off faster than a green light, go
Hey, you skip the conversation when you already know
I left a note on the door with a joke we'd made
And that was the first day

And darling, it was good
Never looking down
And right there where we stood
Was holy ground

Spinning like a girl in a brand new dress
We had this big wide city all to ourselves
We blocked the noise with the sound of, ""I need you""
And for the first time, I had something to lose
And I guess we fell apart in the usual way
And the story's got dust on every page
But sometimes, I wonder how you think about it now
And I see your face in every crowd
'Cause darling, it was good
Never looking down
And right there where we stood
Was holy ground

Tonight, I'm gonna dance
For all that we've been through
But I don't wanna dance
If I'm not dancing with you
Tonight, I'm gonna dance
Like you were in this room
But I don't wanna dance
If I'm not dancing with you

It was good
Never looking down
And right there where we stood
Was holy ground

Tonight, I'm gonna dance
For all that we've been through
But I don't wanna dance
If I'm not dancing with you
Tonight, I'm gonna dance
Like you were in this room
But I don't wanna dance
If I'm not dancing with you26Embed",country
Neil Young,Heart of Gold,"Heart of Gold Lyrics

I want to live, I want to give
I've been a miner for a heart of gold
It's these expressions I never give

That keep me searchin' for a heart of gold
And I'm getting old
Keep me searchin' for a heart of gold
And I'm getting old


I've been to Hollywood, I've been to Redwood
I crossed the ocean for a heart of gold
I've been in my mind, it's such a fine line

That keeps me searchin' for a heart of gold
And I'm getting old
Keeps me searchin' for a heart of gold
And I'm getting old

Keep me searchin' for a heart of gold
You keep me searchin' and I'm growing old
Keep me searchin' for a heart of gold
I've been a miner for a heart of gold21Embed",country
Mother Mother,Verbatim,"Verbatim Lyrics
Uh-oh, ye-ah, uh-oh, ye-ah-oh
Uh-oh, ye-ah, uh-oh

I wear women's underwear
And then I go to strike a pose in my full-length mirror
I cross my legs just like a queer
But my libido is strong when a lady is near, yeah
What defines a straight man's straight?
Is it the boxer in the brief or a twelve-ounce steak?
Nah, I'll tell you what a woman loves most
It's a man who can slap but can also stroke

Going in the wind is an eddy of the truth and it's naked
It's verbatim and it's shakin'
No, no, no, no, no, no, no, no, no
No more getting elated
No more listless invitations

UGH!

I live by a hospital
And every day, I go out walking past its sickly windows
I see people dying there
But my tender age makes it hard to care
The incinerator and a big smokestack
It's a phallic symbol and it makes me laugh (Makes me laugh)
All I need is a heart attack, c'mon
Humble my bones with a cardiac (Humble my bones with a cardiac)
Going in the wind is an eddy of the truth and it's naked
It's verbatim and it's shakin'
No, no, no, no, no, no, no, no, no
No more getting elated
No more listless invitations

For the love of fuck (Love of fuck)
For the sake of Pete (Sake of Pete)
Did you ever really think you'd love (Ever really think you'd love)
A guy like me? (A guy like me?)
I am the rooster in the morning (Rooster in the morning)
I'm the cock of the day (Cock of the day)
I'm the boxer in the briefs (Boxer in the briefs)
I'm a twelve-ounce steak (Twelve-ounce steak)

Eh-oh, eh-oh
Eh-oh, eh-oh
Yabo, yabo
Yabo, yabo
Yabo
It's verbatim
And yeah, and it's naked
And yeah, and it's shakin'
It shakes, shakes, shakes
Uh-oh, ye-ah, uh-oh, ye-ah-oh
Uh-oh, ye-ah, uh-oh, ye-ah-oh
Uh-oh, ye-ah, uh-oh, ye-ah-oh
Uh-oh, ye-ah41Embed",country
Bob Dylan,All Along the Watchtower,"All Along the Watchtower Lyrics
""There must be some way out of here""
Said the joker to the thief
""There's too much confusion
I can't get no relief
Businessmen, they drink my wine
Plowmen dig my earth
None of them along the line
Know what any of it is worth""

""No reason to get excited""
The thief, he kindly spoke
""There are many here among us
Who feel that life is but a joke
But you and I, we've been through that
And this is not our fate
So let us not talk falsely now
The hour is getting late""

All along the watchtower
Princes kept the view
While all the women came and went
Barefoot servants too
Outside, in the distance
A wildcat did growl
Two riders were approaching
The wind began to howl42Embed",country
Taylor Swift,We Are Never Ever Getting Back Together,"We Are Never Ever Getting Back Together Lyrics
I remember when we broke up the first time
Saying, ""This is it, I've had enough,"" 'cause like
We hadn't seen each other in a month
When you said you needed space (What?)
Then you come around again and say
""Baby, I miss you and I swear I'm gonna change, trust me""
Remember how that lasted for a day?
I say, ""I hate you,"" we break up, you call me, ""I love you""

Ooh-ooh-ooh-ooh-ooh
We called it off again last night, but
Ooh-ooh-ooh-ooh-ooh
This time, I'm telling you, I'm telling you

We are never, ever, ever getting back together
We are never, ever, ever getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never, ever, ever, ever
Getting back together
Like, ever

I'm really gonna miss you picking fights
And me falling for it, screaming that I'm right
And you would hide away and find your peace of mind
With some indie record that's much cooler than mine
Ooh-ooh-ooh-ooh-ooh
You called me up again tonight, but
Ooh-ooh-ooh-ooh-ooh
This time, I'm telling you, I'm telling you

We (We) are never, ever, ever getting back together
We are never, ever, ever getting back together
You go talk to your friends, talk to my friends, talk to me
(Talk to me) But we are never, ever, ever, ever
Getting back together

Ooh-ooh-ooh-ooh-ooh (Yeah)
Ooh-ooh-ooh-ooh-ooh-ooh (Yeah)
Ooh-ooh-ooh-ooh-ooh (Yeah)
Oh-oh-oh

I used to think that we were forever, ever
And I used to say, ""Never say never""
Ugh, so he calls me up and he's like, ""I still love you""
And I'm like, ""I just, I mean, this is exhausting, you know?
Like, we are never getting back together, like, ever""
(No) We are never, ever, ever getting back together
We are never, ever, ever (Ooh) getting back together
You go talk to your friends, talk to my friends, talk to me
But we are never, ever, ever, ever
Getting back together

We (Ooh-ooh-ooh-ooh-ooh, ooh-ooh-ooh, no)
Getting back together
We (Ooh-ooh-ooh-ooh-ooh, oh, oh)
Getting back together (Yeah)
You go talk to your friends, talk to my friends, talk to me
(Talk to me) But we are never, ever, ever, ever
Getting back together71Embed",country
