artist,title,lyrics,description,release date,year
ray charles,hit the road jack,"
hit the road jack and doncha come back
no more no more no more no more
hit the road jack and doncha come back no more
whatd you say
hit the road jack and doncha come back
no more no more no more no more
hit the road jack and doncha come back no more
old woman old woman oh you treat me so mean
youre the meanest old woman that ive ever seen
i guess if you say so
ill have to pack my things and go (thats right)
hit the road jack and doncha come back
no more no more no more no more
hit the road jack and doncha come back no more
whatd you say
hit the road jack and doncha come back
no more no more no more no more
hit the road jack and doncha come back no more
now baby listen baby dont you treat me this way
cause ill be back on my feet some day
dont care if you do cause its understood
you aint got no money you just a no good
well i guess if you say so
ill have to pack my things and go (thats right)
hit the road jack and doncha come back
no more no more no more no more
hit the road jack and doncha come back no more
whatd you say
hit the road jack and doncha come back
no more no more no more no more
hit the road jack and doncha come back no more
well (doncha come back no more)
uh whatd you say (doncha come back no more)
i didnt understand you (doncha come back no more)
you cant mean that (doncha come back no more)
oh now baby please (doncha come back no more)
what youre trying to do to me (doncha come back no more)","This tongue and cheek verbal duel of a couple has an eternal message of the unsolved conflict between the dreamer(he) and the practical(her), presented in Ray Charles’s unique way.



The song topped the US charts for two weeks in 1961.",August 1961,1961
ray charles,georgia on my mind,"
georgia
georgia
the whole day through
(the whole day through)
just an old sweet song
keeps georgia on my mind
(georgia on my mind)

i said ageorgia
georgia
a song of you
(a song of you)
comes as sweet and clear
as moonlight through the pines

other arms areach out to me
other eyes smile tenderly
still in the peaceful dreams i see
the road leads back to you

i said georgia oh georgia
no peace i find (no peace i find)
just an old sweet song
keeps georgia on my mind
(georgia on my mind oh)
other arms areach out to me
other eyes smile tenderly
still in peaceful dreams i see
the road leads back to you

oh oh
georgia
georgia
no peace no peace i find
just an old sweet song
keeps georgia on my mind
(georgia on my mind)

i said just an old sweet song
keeps georgia on my mind","Written by Hoagy Carmichael and Stuart Gorrell, Georgia On My Mind became a major hit in 1960, reaching the number one spot on the US Billboard Hot 100 with Ray Charles' recording.

19 years later, it became the official state song, as the Georgia General Assembly publicly apologized to Charles for a conflict over a civil rights issue.",September 1960,1960
ray charles,i’ve got a woman,"
well

i got a woman way over town
thats good to me oh yeah
say i got a woman way over town
good to me oh yeah
she give me money when im in need
yeah shes a kind of friend indeed
i got a woman way over town
thats good to me oh yeah

she saves her lovin early in the mornin
just for me oh yeah
she saves her lovin early in the mornin
just for me oh yeah
she saves her lovin just for me
aah she love me so tenderly
i got a woman way over town
thats good to me oh yeah


shes there to love me
both day and night
never grumbles or fusses
always treats me right
never runnin in the streets
and leavin me alone
she knows a womans place
is right there now in her home
i got a woman way over town
thats good to me oh yeah
say i got a woman way over town
thats good to me oh yeah
oh shes my baby oh dont you understand
yeah and im her lover man
i got a woman way over town
thats good to me oh yeah

oh dont you know shes all right
oh dont you know shes all right
shes all right shes all right
whoa yeah oh yeah oh yeah","Ray Charles released “I’ve Got a Woman” as a single in December 1954 after recording the song in November at the studio of Georgia Tech’s radio station WGST in Atlanta. The song topped the R&B chart in 1955 and has been featured on several “best of” lists, including a spot on Rolling Stone’s lists of the 500 Greatest Songs of All Time and 40 Songs That Changed the World, inclusion on the Rock and Roll Hall of Fame’s list of the 500 Songs That Shaped Rock, and induction into the Grammy Hall of Fame in 1990.

The song is a secular rewrite of the hymn “It Must Be Jesus”:

http://www.youtube.com/watch?v=AvCbVLZW4EY",December 1954,1954
ray charles,i can’t stop loving you,"
(i cant stop loving you)
ive made up my mind
to live in memories of the lonesome times
(i cant stop wanting you)
its useless to say
so ill just live my life in dreams of yesterdays
(dreams of yesterday)

those happy hours that we once knew
though long ago they still make me blue
they say that time heals a broken heart
but time has stood still since weve been apart

(i cant stop loving you)
ive made up my mind
to live in memories of the lonesome times
(i cant stop wanting you)
its useless to say
so ill just live my life in dreams of yesterdays

(those happy hours) those happy hours
(that we once knew) that we once knew
(though long ago) though long ago
(they still make me blue) they still make me blue
(they say that time) they say that time
(heals a broken heart) heals a broken heart
(but time has stood still) time has stood still
(since weve been apart) since weve been apart
(i cant stop loving you)
i said ive made up my mind
to live in memories of the lonesome times
sing the song to me
(i cant stop wanting you)
its useless to say
so ill just live my life of dreams of yesterdays
(of yesterdays)",?,1962,1962
ken nordine,yellow,"in the beginning
oh long before that
when light was deciding
who should be in
and who should be out
of the spectrum
yellow was in trouble
even then it seems that green
(you know how green can be)
didnt want yellow in
some silly primal envy i suppose
but for whatever cause
the effect was bad on yellow
and caused yellow to weep yellow tears
for several eternals
before there were years
until blue heard what was up
between green and yellow
and took green aside for a serious talk
in which blue pointed out
that if yellow and blue were to get together
not that they would but if they did
(a gentle threat)
they could make their own green
""ohhh"" said green with some understanding
naturally by a sudden change of hue
green saw the light and yellow got in
it worked out fine
yellow got lemons
and green got limes",?,"January 1, 1966",1966
ken nordine,green,"as an intellectual vibration smack dab in the middle of spectrum
green can be a problem
that’s because there’s so many different greens inside of green and each one has a different iq
there’s the green that should never have happened
the “stupid green”
the green that is “green with envy”
then there’s the “soso green” the “whocaresanyway” green
but somewhere in green is a green here and there that has something to say
a truly intelligent green a green with some integrity
that’s the kind of green for you and me
there’s a green to be seen with vivid vibrant living alive
we should spend the better part of our time yours and mine with a green like this
maybe some of it would rub off",?,"January 1, 1966",1966
ken nordine,what time is it?,"there was this guy who was a regular guy who lived a regular life
got up 730 every morning
had the same breakfast
kissed the same wife goodbye every morning
went to the same office
came home  monday through friday
on saturdays he played with the children
did handywork around the house
sundays he took the family out on the station wagon to the suburbs
and there they looked at the houses and the trees the billboards the gasoline stations and the railroad crossings
and his life might have gone on like this forever
except one night something strange happened to him
you see he went to bed at 1030
and some of his friends stayed up later
and one of them closing up a place that closed at two in the morning decided to call this ""regular liver""
and said ""what time is it"" on the telephone
when he woke up and he said ""whos this whos this its its its two oclock in the morning its no time to call bye""
but the practical joker called every night two oclock in the morning
he did this for two weeks
friend  said ""who is it stop""
finally after two weeks the practical joker lost interest in the joke and did stop
then came two oclock and the phone didnt ring
so he woke up
""why isnt the phone ringing""
he discovered that the only way that he could go back to sleep was to say ""what time is it""
look at his watch and say ""two oclock""
and he could sleep
he did this a couple of nights until he began to think
""its two oclock where i am
what time is it in new york or in hollywood
or in london or in hong kong and cairo""
he didnt know
so the next day he went out and he bought himself some clocks
he got clocks from all over and he put them all over the walls
and the time was there
he knew what time it was everywhere that counted
and this made him feel comfortable
he became so interested in time that he got little egg timers and gave them away as presents
he read about time in in books
sidereal time time way out in the universe
he knew what time it was on arcturus and the pleiades and the milky way
one night though at two oclock in the morning the light wouldnt go on the fuse had blown
but suddenly he realized he knew what time it was without even looking
not only in the important cities of this world but in the entire universe
and naturally began to brag a little the next day
he told people ""i know what time it is""
and they tested him and he did know
the administration had changed at this particular time and they wanted to save money
so they got rid of all their astronomers all their telescopes their weights and measures
and they put this man in washington in a little room
where he sits to this day simply saying
""beep the time now is""",?,July 1957,1957
ken nordine,lavender,"lavender is an old old old old lady
lavender is arent you
i thought you were
lady lavender in the indigo house
by the purple wood
cobwebbed by spiders in magic magenta
lavender keeper of dark corners
in black blue blood
lady of the soft edges tell us all or tell me
where day goes with night
and what they do there
and what it means
the questions fall on your lavender lap
and your answer is
a lavender laugh
in a lavender cry
near a lavender watch
by a lavender why",?,1966,1966
ghetto brothers,girl from the mountain,"
nanana nanananana (nana)
nanana nanananana (nana)
nananana na

ill be leaving on a plane tomorrow
im going back and why i go i just dont know
you know my memories of her they are many
ive got to see that girl
i dont know if she has gotten married
people say she has a little baby
i dont care if she will bring me sorrow
ive got to see that girl

girl from the mountain
im begging you remember me please
girl from the mountain
when are you gonna set my soul free

with my hair down to my shoulders sweating
there i was under a tropic setting
climbin way up to the top of the mountain
and just to see that girl
yes ill be leaving on a plane tomorrow
im going back and why i go i just dont know
you know my memories of her are so many
ive got to see that girl

mami de la montaña
vuelve pronto a mi
mami de la montaña
ven a mi
vuelve pronto a mi

girl from the mountain
im begging you remember me please
girl from the mountain
when are you gonna set my soul free","The only track on Power-Fuerza not written by the Ghetto Brothers, “Girl from the Mountain” is in fact a cover of a song written by Felix Tollinchi and originally recorded by The Harvey Averne Barrio Band for their self-titled 1971 record. The Averne record itself features a Tito Puente cover, for whom the Ghetto Brothers opened in an earlier incarnation nearly eight years before – one possible explanation for how the group decided to cover this relatively obscure track. But there is at least one other interesting connection between The Harvey Averne Barrio Band and the Ghetto Brothers. Averne was “one of several prominent Jewish Americans in New York’s bustling Latin music scene” – and so was Ghetto Brothers founder and bandleader Benji Melendez.

Though Melendez was Latino and in fact born in Puerto Rico (unlike Averne, who had no Latin or Hispanic heritage), Benji was also a crypto-Jew. On March 30th, 1492, Queen Isabella of Spain issued an expulsion decree giving Jews just four months to leave the country. Hundreds of thousands of people were expelled or murdered during this time. To avoid death, many Jews converted to Christianity, with some continuing to secretly practice Judaism. Nevertheless, during the Spanish Inquisition, many these hidden Jews, or “marranos” (Spanish word for pigs), were found and killed. Those that survived or fled continued to practice Judaism in secret, passing down rituals and traditions over generations. Growing up, Melendez recognized that his family had certain routines that were different from other families in their neighborhood, such as reading the Old Scripture on Saturdays, or how his father would “wrap himself into a bed sheet and mediate” on Fridays. It was not until Melendez was older that he realized his family’s unique traditions were in fact Jewish traditions, thanks to the help of a former teacher, Rita Fecher, who was Jewish herself. Although Melendez did not discover this truth about his family’s heritage until later in his life, it became a large part of his identity, and he attended the Intervale Jewish Center, the last synagogue of the South Bronx, until it closed.

Sources: Voloj, Julian, and Claudia Ahlering. Ghetto Brother: Warrior to Peacemaker.
Mylnar, Phillip. “A Bronx Tale: The Story of the Ghetto Brothers,” Red Bull Music Academy. November 20, 2012.
Wang, Oliver. “Harvey Averne: Viva Latin Soul,” NPR, September 24, 2009.","January 1, 1971",1971
ghetto brothers,there is something in my heart,"there is something in my heart
that i have to say to you
i hope that well never part
what i have to say is true
you dont love me like you used to do before
you dont love me anymore
so much pain in my heart
so much pain
leaving me behind with no remain
i said no remain
la la la la la la la
so much pain girl
la la la la la la la
so much pain girl
la la la la la la la
so much pain girl
la la la la la la la
so much pain girl
you dont love me like you used to do before
you dont love me anymore
so much pain in my heart
so much pain
leaving me behind with no remain
i said no remain
there is something in my heart
so much pain girl
there is something in my heart
so much pain girl
there is something in my heart
so much pain girl
there is something in my heart
so much pain girl",?,"January 1, 1971",1971
