artist,title,lyrics,description,release date
Ray Charles,Hit the Road Jack,"Hit the Road Jack Lyrics
Hit the road Jack, and don'cha come back
No more, no more, no more, no more
Hit the road Jack, and don'cha come back no more
What'd you say?
Hit the road Jack, and don'cha come back
No more, no more, no more, no more
Hit the road Jack, and don'cha come back no more
Old woman old woman, oh you treat me so mean
You're the meanest old woman that I've ever seen
I guess if you say so
I'll have to pack my things and go (that's right)
Hit the road Jack, and don'cha come back
No more, no more, no more, no more
Hit the road Jack, and don'cha come back no more
What'd you say?
Hit the road Jack, and don'cha come back
No more, no more, no more, no more
Hit the road Jack, and don'cha come back no more
Now baby, listen baby, don't you treat me this way
Cause I'll be back on my feet some day
Don't care if you do, cause it's understood
You ain't got no money, you just a no good
Well I guess if you say so
I'll have to pack my things and go (that's right)
Hit the road Jack, and don'cha come back
No more, no more, no more, no more
Hit the road Jack, and don'cha come back no more
What'd you say?
Hit the road Jack, and don'cha come back
No more, no more, no more, no more
Hit the road Jack, and don'cha come back no more
Well (Don'cha come back no more)
Uh, what'd you say? (Don'cha come back no more)
I didn't understand you (Don'cha come back no more)
You can't mean that (Don'cha come back no more)
Oh, now baby please (Don'cha come back no more)
What you're trying to do to me (Don'cha come back no more)14Embed","This tongue and cheek verbal duel of a couple has an eternal message of the unsolved conflict between the dreamer(he) and the practical(her), presented in Ray Charles’s unique way.



The song topped the US charts for two weeks in 1961.",August 1961
Ray Charles,Georgia On My Mind,"Georgia On My Mind Lyrics
Georgia
Georgia
The whole day through
(The whole day through)
Just an old, sweet song
Keeps Georgia on my mind
(Georgia on my mind)

I said a-Georgia
Georgia
A song of you
(A song of you)
Comes as sweet and clear
As moonlight through the pines

Other arms a-reach out to me
Other eyes smile tenderly
Still, in the peaceful dreams, I see
The road leads back to you

I said, Georgia, oh, Georgia
No peace I find (No peace I find)
Just an old, sweet song
Keeps Georgia on my mind
(Georgia on my mind, oh)
Other arms a-reach out to me
Other eyes smile tenderly
Still, in peaceful dreams, I see
The road leads back to you

Oh, oh
Georgia
Georgia
No peace, no peace I find
Just an old, sweet song
Keeps Georgia on my mind
(Georgia on my mind)

I said, just an old, sweet song
Keeps Georgia on my mind10Embed","Written by Hoagy Carmichael and Stuart Gorrell, Georgia On My Mind became a major hit in 1960, reaching the number one spot on the US Billboard Hot 100 with Ray Charles' recording.

19 years later, it became the official state song, as the Georgia General Assembly publicly apologized to Charles for a conflict over a civil rights issue.",September 1960
Ray Charles,I’ve Got a Woman,"I’ve Got a Woman Lyrics
Well

I got a woman, way over town
That's good to me, oh yeah
Say I got a woman, way over town
Good to me, oh yeah
She give me money when I'm in need
Yeah, she's a kind of friend indeed
I got a woman, way over town
That's good to me, oh yeah

She saves her lovin', early in the mornin'
Just for me, oh yeah
She saves her lovin', early in the mornin'
Just for me, oh yeah
She saves her lovin', just for me
Aah, she love me, so tenderly
I got a woman, way over town
That's good to me, oh yeah


She's there to love me
Both day and night
Never grumbles or fusses
Always treats me right
Never runnin' in the streets
And leavin' me alone
She knows a woman's place
Is right there, now, in her home
I got a woman, way over town
That's good to me, oh yeah
Say I got a woman, way over town
That's good to me, oh yeah
Oh she's my baby, oh don't you understand
Yeah, and I'm her lover man
I got a woman, way over town
That's good to me, oh yeah

Oh, don't you know she's all right
Oh, don't you know she's all right
She's all right, she's all right
Whoa yeah, oh yeah, oh yeah5Embed","Ray Charles released “I’ve Got a Woman” as a single in December 1954 after recording the song in November at the studio of Georgia Tech’s radio station WGST in Atlanta. The song topped the R&B chart in 1955 and has been featured on several “best of” lists, including a spot on Rolling Stone’s lists of the 500 Greatest Songs of All Time and 40 Songs That Changed the World, inclusion on the Rock and Roll Hall of Fame’s list of the 500 Songs That Shaped Rock, and induction into the Grammy Hall of Fame in 1990.

The song is a secular rewrite of the hymn “It Must Be Jesus”:

http://www.youtube.com/watch?v=AvCbVLZW4EY",December 1954
Ken Nordine,Yellow,"Yellow LyricsIn the beginning--
Oh, long before that--
When light was deciding
Who should be in
And who should be out
Of the spectrum
Yellow was in trouble
Even then it seems that Green
(you know how Green can be)
Didn't want Yellow in
Some silly primal envy I suppose
But for whatever cause
The effect was bad on Yellow
And caused Yellow to weep yellow tears
For several eternals
Before there were years
Until Blue heard what was up
Between Green and Yellow
And took Green aside for a serious talk
In which Blue pointed out
That if Yellow and Blue were to get together
Not that they would but if they did
(a gentle threat)
They could make their own green
""Ohhh"" said Green with some understanding
Naturally by a sudden change of hue
Green saw the light and Yellow got in
It worked out fine
Yellow got lemons
And green got limesEmbed",?,"January 1, 1966"
Ken Nordine,Green,"Green LyricsAs an intellectual vibration smack dab in the middle of spectrum
Green can be a problem
That’s because there’s so many different greens inside of Green and each one has a different IQ
There’s the green that should never have happened:
The “stupid green.”
The green that is “green with envy.”
Then there’s the “so-so green,” the “who-cares-anyway?” green
But somewhere in Green is a green here and there that has something to say:
A truly intelligent green, a green with some integrity
That’s the kind of green for you and me
There’s a green to be seen with: vivid, vibrant, living alive!
We should spend the better part of our time, yours and mine, with a green like this
Maybe some of it would rub offEmbed",?,"January 1, 1966"
Ken Nordine,What Time Is It?,"What Time Is It? LyricsThere was this guy who was a regular guy who lived a regular life
Got up 7:30 every morning
Had the same breakfast
Kissed the same wife goodbye every morning
Went to the same office
Came home  Monday through Friday
On Saturdays, he played with the children
Did handywork around the house
Sundays, he took the family out on the station wagon to the suburbs
And there, they looked at the houses and the trees, the billboards, the gasoline stations, and the railroad crossings
And his life might have gone on like this forever
Except one night, something strange happened to him
You see, he went to bed at 10:30
And some of his friends stayed up later
And one of them, closing up a place that closed at two in the morning, decided to call this ""regular liver""
And said, ""What time is it?"", on the telephone
When he woke up and he said, ""Who's this? Who's this? It's, it's, it's two o'clock in the morning, it's no time to call. Bye!""
But the practical joker called every night, two o'clock in the morning
He did this for two weeks
Friend  said, ""Who is it? Stop!""
Finally, after two weeks, the practical joker lost interest in the joke and did stop
Then came two o'clock and the phone didn't ring
So he woke up
""Why isn't the phone ringing?""
He discovered that the only way that he could go back to sleep was to say, ""What time is it?""
Look at his watch and say, ""two o'clock""
And he could sleep
He did this a couple of nights until he began to think:
""It's two o'clock where I am
What time is it in New York? Or in Hollywood?
Or in London? Or in Hong Kong? And Cairo?""
He didn't know
So the next day, he went out and he bought himself some clocks
He got clocks from all over and he put them all over the walls
And the time was there
He knew what time it was everywhere that counted
And this made him feel comfortable
He became so interested in time that he got little egg timers and gave them away as presents
He read about time in, in books
Sidereal time: time way out in the universe
He knew what time it was on Arcturus and the Pleiades and the Milky Way
One night, though, at two o'clock in the morning, the light wouldn't go on; the fuse had blown
But suddenly, he realized he knew what time it was without even looking
Not only in the important cities of this world, but in the entire universe
And naturally, began to brag a little the next day
He told people, ""I know what time it is""
And they tested him and he did know
The Administration had changed at this particular time and they wanted to save money
So they got rid of all their astronomers, all their telescopes, their weights and measures
And they put this man in Washington in a little room
Where he sits to this day, simply saying:
""BEEP. The time now is...""Embed",?,July 1957
Ghetto Brothers,Girl From The Mountain,"Girl From The Mountain Lyrics
Na-na-na na-na-na-na-na (Na-na)
Na-na-na na-na-na-na-na (Na-na)
Na-na-na-na na

I'll be leaving on a plane tomorrow
I'm going back and why I go, I just don't know
You know my memories of her, they are many
I've got to see that girl
I don't know if she has gotten married
People say she has a little baby
I don't care if she will bring me sorrow
I've got to see that girl

Girl from the mountain
I'm begging you, remember me please
Girl from the mountain
When are you gonna set my soul free

With my hair down to my shoulders sweating
There I was under a tropic setting
Climbin' way up to the top of the mountain
And just to see that girl
Yes, I'll be leaving on a plane tomorrow
I'm going back and why I go, I just don't know
You know my memories of her are so many
I've got to see that girl

Mami de la montaña
Vuelve pronto a mi
Mami de la montaña
Ven a mi
Vuelve pronto a mi

Girl from the mountain
I'm begging you, remember me please
Girl from the mountain
When are you gonna set my soul freeEmbed","The only track on Power-Fuerza not written by the Ghetto Brothers, “Girl from the Mountain” is in fact a cover of a song written by Felix Tollinchi and originally recorded by The Harvey Averne Barrio Band for their self-titled 1971 record. The Averne record itself features a Tito Puente cover, for whom the Ghetto Brothers opened in an earlier incarnation nearly eight years before – one possible explanation for how the group decided to cover this relatively obscure track. But there is at least one other interesting connection between The Harvey Averne Barrio Band and the Ghetto Brothers. Averne was “one of several prominent Jewish Americans in New York’s bustling Latin music scene” – and so was Ghetto Brothers founder and bandleader Benji Melendez.

Though Melendez was Latino and in fact born in Puerto Rico (unlike Averne, who had no Latin or Hispanic heritage), Benji was also a crypto-Jew. On March 30th, 1492, Queen Isabella of Spain issued an expulsion decree giving Jews just four months to leave the country. Hundreds of thousands of people were expelled or murdered during this time. To avoid death, many Jews converted to Christianity, with some continuing to secretly practice Judaism. Nevertheless, during the Spanish Inquisition, many these hidden Jews, or “marranos” (Spanish word for pigs), were found and killed. Those that survived or fled continued to practice Judaism in secret, passing down rituals and traditions over generations. Growing up, Melendez recognized that his family had certain routines that were different from other families in their neighborhood, such as reading the Old Scripture on Saturdays, or how his father would “wrap himself into a bed sheet and mediate” on Fridays. It was not until Melendez was older that he realized his family’s unique traditions were in fact Jewish traditions, thanks to the help of a former teacher, Rita Fecher, who was Jewish herself. Although Melendez did not discover this truth about his family’s heritage until later in his life, it became a large part of his identity, and he attended the Intervale Jewish Center, the last synagogue of the South Bronx, until it closed.

Sources: Voloj, Julian, and Claudia Ahlering. Ghetto Brother: Warrior to Peacemaker.
Mylnar, Phillip. “A Bronx Tale: The Story of the Ghetto Brothers,” Red Bull Music Academy. November 20, 2012.
Wang, Oliver. “Harvey Averne: Viva Latin Soul,” NPR, September 24, 2009.","January 1, 1971"
Ghetto Brothers,There Is Something In My Heart,"There Is Something In My Heart LyricsThere is something in my heart
That I have to say to you
I hope that we'll never part
What I have to say is true
You don't love me like you used to do before
You don't love me anymore
So much pain in my heart
So much pain
Leaving me behind with no remain
I said no remain
La la la la la la la
So much pain, girl
La la la la la la la
So much pain, girl
La la la la la la la
So much pain, girl
La la la la la la la
So much pain, girl
You don't love me like you used to do before
You don't love me anymore
So much pain in my heart
So much pain
Leaving me behind with no remain
I said no remain
There is something in my heart
So much pain, girl
There is something in my heart
So much pain, girl
There is something in my heart
So much pain, girl
There is something in my heart
So much pain, girlEmbed",?,"January 1, 1971"
Ghetto Brothers,Ghetto Brothers Power,"Ghetto Brothers Power LyricsAhora sí
We are glad to be here today
To make you dance the ghetto way
And we’re gonna sing a little song
And we’re gonna dance all night long
We are gonna take you higher with Ghetto Brother power
Higher, higher
Higher, higher
Higher, higher
Higher, higher
Higher, take me higher
Higher, higher
Higher, higher
Higher, higher
We are gonna take you higher with Ghetto Brother power
If you wanna get your thing together brothers and sisters
Let’s do it Ghetto Brothers style
Right on, brothers?
(Right on!)
You know that Frankie’s a bad player
Frankie, please play
Lemme move my feet
Yeah, alright
Go!
Ahora, sí
We are gonna take you higher with Ghetto Brothers power
We are glad to be here today
To make you dance the ghetto way
And we’re gonna sing a little song
And we’re gonna dance all night long
We are gonna take you higher with Ghetto Brother power
Let me hear it again
We are gonna take you higher with Ghetto Brother power
One more time, one more time
We are gonna take you higher with Ghetto Brother powerEmbed",?,"January 1, 1972"
Sugarhill Gang & The Furious Five,Someone Like You,"Someone Like You Lyrics
Someone like you

So what you wanna do?
You're overdue, your boo left you
Left with a ""FU"", that ain't a ""Bless You""
I suggest you, the rumors ain't true
That's a family member, so watch your temper

Yeah, I look high and I look low
Seen your face wherever I go, like a déjà vu
All the hours and the dates, a few
Let me count the waves with someone like you

Hide your girl from round the way
Ride or die, love to play
Make you sweat, make you scream
Tell your friends I'm the man of your dreams

Bloss, blob, don't stop
Let me see your body rock
Take your sexy to the top, top
Been looking for someone
Someone like you
That very special one
Someone like you
Been all around the world
Someone like you
Someone like, someone like you, baby
Like you
Someone like you
Come on, yeah
Someone like you
Someone like, someone like you

What you wanna do?
Who you talking to?

Yeah
All my life I been waiting for
And every day, girl I love you more
You the only girl I wanna see
Me for you girl, and you for me

I miss you girl, I wish I could kiss you like this
Now won't you let me come and get you girl?
No matter what I do, I will never change my view
Stain my view, I'm stayin' with someone like you
Like you

Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeah
Yeah, yeahEmbed",?,"July 4, 2019"
